sous_zone;point_strategique_kind;point_strategique_nom;rue
1;Rue;Rue Cossette;20
1;Rue;Rue Cossette;22B
1;Rue;Rue Cossette;3 (option)
1;Rue;Rue Cossette;Accès
1;Rue;Rue Cossette;Place des Écorceurs
1;Rue;Rue Cossette;Rang Saint-Pierre
1;Rue;Rue Cossette;Rue Baudelaire
1;Rue;Rue Cossette;Rue Bersimis
1;Rue;Rue Cossette;Rue Brébeuf
1;Rue;Rue Cossette;Rue Cossette
1;Rue;Rue Cossette;Rue Courtois
1;Rue;Rue Cossette;Rue Descartes
1;Rue;Rue Cossette;Rue Gabriel-Druillettes
1;Rue;Rue Cossette;Rue Garnier
1;Rue;Rue Cossette;Rue Grimm
1;Rue;Rue Cossette;Rue Hémingway
1;Rue;Rue Cossette;Rue Jeanne Mance
1;Rue;Rue Cossette;Rue Jolliet
1;Rue;Rue Cossette;Rue Louis Fréchette
1;Rue;Rue Cossette;Rue Légaré
1;Rue;Rue Cossette;Rue Marquette
1;Rue;Rue Cossette;Rue Martin-Bouvard
1;Rue;Rue Cossette;Rue Molière
1;Rue;Rue Cossette;Rue Montmagny
1;Rue;Rue Cossette;Rue Perreault
1;Rue;Rue Cossette;Rue Pouliot
1;Rue;Rue Cossette;Rue Roy
1;Rue;Rue Cossette;Rue Saint-Augustin
1;Rue;Rue Cossette;Rue Victor-Guimond
1;Rue;Rue Cossette;Rue Voltaire
1;Rue;Rue Cossette;Rue de Lachevrotière
1;Rue;Rue Cossette;Rue de Nicolas Pelletier
1;Rue;Rue Cossette;Rue de l'Ecluse
1;Rue;Rue Cossette;Rue de l'Estacade
1;Rue;Rue Cossette;Rue de la Grande
1;Rue;Rue Cossette;Rue de la Manouane
1;Rue;Rue Cossette;Rue de la Papetière
1;Rue;Rue Cossette;Rue de la Pulpe
1;Rue;Rue Cossette;Rue des Actionnaires
1;Rue;Rue Cossette;Rue des Affaires
1;Rue;Rue Cossette;Rue des Draveurs
1;Rue;Rue Cossette;Rue des Défibreurs
1;Rue;Rue Cossette;Rue des Investisseurs
1;Rue;Rue Cossette;Rue des Outardes
1;Rue;Rue Cossette;Rue des Presses
1;Rue;Rue Cossette;Rue des Raffineurs
1;Rue;Rue Cossette;Rue des Sociétaires
1;Rue;Rue Cossette;Rue des Tamis
1;Rue;Rue Cossette;Rue des Turbines
1;Rue;Rue Cossette;Rue des Vannes
1;Rue;Rue Cossette;Rue du Barrage
1;Rue;Rue Cossette;Rue du Belvédère
1;Rue;Rue Cossette;Rue du Canal
1;Rue;Rue Cossette;Rue du Cran
1;Rue;Rue Cossette;Rue du Mont-Sainte-Claire
1;Rue;Rue Cossette;Rue du Séchoir
1;Rue;Rue Cossette;Rue la Brosse
2;Quartier;Hamel-Fradette-Gobeil;Rue Adélard-Gobeil
2;Quartier;Hamel-Fradette-Gobeil;Rue Anthyme-Larouche
2;Quartier;Hamel-Fradette-Gobeil;Rue Arthur-Hamel
2;Quartier;Hamel-Fradette-Gobeil;Rue Beauregard
2;Quartier;Hamel-Fradette-Gobeil;Rue Couturier
2;Quartier;Hamel-Fradette-Gobeil;Rue Desaulniers
2;Quartier;Hamel-Fradette-Gobeil;Rue Desbiens
2;Quartier;Hamel-Fradette-Gobeil;Rue Ferland
2;Quartier;Hamel-Fradette-Gobeil;Rue Fradette
2;Quartier;Hamel-Fradette-Gobeil;Rue Félix-Antoine-Savard
2;Quartier;Hamel-Fradette-Gobeil;Rue Henri-Martin
2;Quartier;Hamel-Fradette-Gobeil;Rue Honoré-Mercier
2;Quartier;Hamel-Fradette-Gobeil;Rue Jacques-Bacon
2;Quartier;Hamel-Fradette-Gobeil;Rue Jean-Langevin
2;Quartier;Hamel-Fradette-Gobeil;Rue Jeanne-Le Ber
2;Quartier;Hamel-Fradette-Gobeil;Rue Jules-Huot
2;Quartier;Hamel-Fradette-Gobeil;Rue King
2;Quartier;Hamel-Fradette-Gobeil;Rue Laberge
2;Quartier;Hamel-Fradette-Gobeil;Rue Marie-Rollet
2;Quartier;Hamel-Fradette-Gobeil;Rue McNicoll
2;Quartier;Hamel-Fradette-Gobeil;Rue Melançon
2;Quartier;Hamel-Fradette-Gobeil;Rue Mies-Van der Rohe
2;Quartier;Hamel-Fradette-Gobeil;Rue Monseigneur-Laflamme
2;Quartier;Hamel-Fradette-Gobeil;Rue Nil-Tremblay
2;Quartier;Hamel-Fradette-Gobeil;Rue Notre-Dame
2;Quartier;Hamel-Fradette-Gobeil;Rue Paré
2;Quartier;Hamel-Fradette-Gobeil;Rue Perron
2;Quartier;Hamel-Fradette-Gobeil;Rue Pilote
2;Quartier;Hamel-Fradette-Gobeil;Rue Renaud
2;Quartier;Hamel-Fradette-Gobeil;Rue Saint-Isidore
2;Quartier;Hamel-Fradette-Gobeil;Rue Saint-Thimothée
2;Quartier;Hamel-Fradette-Gobeil;Rue Therrien
2;Quartier;Hamel-Fradette-Gobeil;Rue Théodore-Côté
2;Quartier;Hamel-Fradette-Gobeil;Rue Vézina
2;Quartier;Hamel-Fradette-Gobeil;Rue d'Anjou
2;Quartier;Hamel-Fradette-Gobeil;Rue d'Aunis
2;Quartier;Hamel-Fradette-Gobeil;Rue d'Auteuil
2;Quartier;Hamel-Fradette-Gobeil;Rue d'Auvergne
2;Quartier;Hamel-Fradette-Gobeil;Rue de Bretagne
2;Quartier;Hamel-Fradette-Gobeil;Rue de Brouage
2;Quartier;Hamel-Fradette-Gobeil;Rue de Gascogne
2;Quartier;Hamel-Fradette-Gobeil;Rue de Honfleur
2;Quartier;Hamel-Fradette-Gobeil;Rue de Nantes
2;Quartier;Hamel-Fradette-Gobeil;Rue de Normandie
2;Quartier;Hamel-Fradette-Gobeil;Rue de Paris
2;Quartier;Hamel-Fradette-Gobeil;Rue de Provence
2;Quartier;Hamel-Fradette-Gobeil;Rue de Roussillon
2;Quartier;Hamel-Fradette-Gobeil;Rue de Vendée
2;Quartier;Hamel-Fradette-Gobeil;Rue de l'Alsace
2;Quartier;Hamel-Fradette-Gobeil;Rue de l'Assomption
2;Quartier;Hamel-Fradette-Gobeil;Rue de la Chute
2;Quartier;Hamel-Fradette-Gobeil;Rue de la Gravière
2;Quartier;Hamel-Fradette-Gobeil;Rue de la Rochelle
2;Quartier;Hamel-Fradette-Gobeil;Rue de la Terrasse
2;Quartier;Hamel-Fradette-Gobeil;Rue des Cerisiers
2;Quartier;Hamel-Fradette-Gobeil;Rue des Cormiers
2;Quartier;Hamel-Fradette-Gobeil;Rue des Cèdres
2;Quartier;Hamel-Fradette-Gobeil;Rue des Frênes
2;Quartier;Hamel-Fradette-Gobeil;Rue des Ormes
2;Quartier;Hamel-Fradette-Gobeil;Rue des Pins
2;Quartier;Hamel-Fradette-Gobeil;Rue des Tilleuls
2;Quartier;Hamel-Fradette-Gobeil;Rue des Érables
2;Quartier;Hamel-Fradette-Gobeil;Rue du Bois-Joli
2;Quartier;Hamel-Fradette-Gobeil;Rue du Charolais
2;Quartier;Hamel-Fradette-Gobeil;Rue du Chemin-du-Golf
2;Quartier;Hamel-Fradette-Gobeil;Rue du Foyer
2;Quartier;Hamel-Fradette-Gobeil;Rue du Languedoc
2;Quartier;Hamel-Fradette-Gobeil;Rue du Lavandou
2;Quartier;Hamel-Fradette-Gobeil;Rue du Luberon
2;Quartier;Hamel-Fradette-Gobeil;Rue du Parc
2;Quartier;Hamel-Fradette-Gobeil;Rue du Perche
2;Quartier;Hamel-Fradette-Gobeil;Rue du Poitou
2;Quartier;Hamel-Fradette-Gobeil;Rue du Père-Fiset
2;Quartier;Hamel-Fradette-Gobeil;Rue du Père-Garin
2;Quartier;Hamel-Fradette-Gobeil;Rue du Père-Honorat
2;Quartier;Hamel-Fradette-Gobeil;Rue du Sacré-Coeur
2;Quartier;Hamel-Fradette-Gobeil;Ruelle Raymond
2;Quartier;Hamel-Fradette-Gobeil;Sentier des Moulins
3;Quartier;Chicoutimi-Nord;Boulevard Sainte-Geneviève
3;Quartier;Chicoutimi-Nord;Boulevard de Tadoussac
3;Quartier;Chicoutimi-Nord;Boulevard du Saguenay Ouest
3;Quartier;Chicoutimi-Nord;Place de la Colline
3;Quartier;Chicoutimi-Nord;Pont de Sainte-Anne
3;Quartier;Chicoutimi-Nord;Rue Albert
3;Quartier;Chicoutimi-Nord;Rue Bouchard
3;Quartier;Chicoutimi-Nord;Rue Cabot
3;Quartier;Chicoutimi-Nord;Rue Casault
3;Quartier;Chicoutimi-Nord;Rue Chapais
3;Quartier;Chicoutimi-Nord;Rue Constantin
3;Quartier;Chicoutimi-Nord;Rue Coulombe
3;Quartier;Chicoutimi-Nord;Rue David
3;Quartier;Chicoutimi-Nord;Rue Delisle
3;Quartier;Chicoutimi-Nord;Rue Frontenac
3;Quartier;Chicoutimi-Nord;Rue Fréchette
3;Quartier;Chicoutimi-Nord;Rue Fénelon
3;Quartier;Chicoutimi-Nord;Rue Harry
3;Quartier;Chicoutimi-Nord;Rue Hoffman
3;Quartier;Chicoutimi-Nord;Rue Jobin
3;Quartier;Chicoutimi-Nord;Rue Lalemant
3;Quartier;Chicoutimi-Nord;Rue Ludovic
3;Quartier;Chicoutimi-Nord;Rue Masson
3;Quartier;Chicoutimi-Nord;Rue Monseigneur-Martel
3;Quartier;Chicoutimi-Nord;Rue Phydime
3;Quartier;Chicoutimi-Nord;Rue Pie-XII
3;Quartier;Chicoutimi-Nord;Rue Pépin
3;Quartier;Chicoutimi-Nord;Rue Rhainds
3;Quartier;Chicoutimi-Nord;Rue Riel
3;Quartier;Chicoutimi-Nord;Rue Rodolphe
3;Quartier;Chicoutimi-Nord;Rue Saint-Albert
3;Quartier;Chicoutimi-Nord;Rue Saint-Alexandre
3;Quartier;Chicoutimi-Nord;Rue Saint-Alexis
3;Quartier;Chicoutimi-Nord;Rue Saint-Ambroise
3;Quartier;Chicoutimi-Nord;Rue Saint-André
3;Quartier;Chicoutimi-Nord;Rue Saint-Bruno
3;Quartier;Chicoutimi-Nord;Rue Saint-Calixte
